algorithm,trial,runtime,coverage_score,priority_score,time_utilization_score,fatigue_balance_score,training_frequency_score,constraint_violations,total_score
greedy,0,0.0004451274871826172,1.0,0.7571428571428571,0.5083333333333333,0.3076923076923077,0.4,0,58.38324175824175
refined,0,0.011166572570800781,1.0,0.7285714285714285,0.49166666666666664,1.0,0.4,0,67.94642857142857
random,0,0.00025391578674316406,1.0,0.7,0.45,0.1764705882352941,0.6,0,57.39705882352941
random,1,0.00023889541625976562,1.0,0.7,0.45,0.10344827586206898,0.6,0,56.30172413793103
random,2,0.0002758502960205078,1.0,0.7,0.45,0.14285714285714285,0.6,0,56.892857142857146
random,3,0.00023603439331054688,1.0,0.7,0.45,0.27272727272727276,0.6,0,58.84090909090909
random,4,0.0002357959747314453,1.0,0.7,0.45,0.10344827586206898,0.6,0,56.30172413793103
random,5,0.00025582313537597656,1.0,0.7,0.45,0.07317073170731708,0.6,0,55.84756097560975
random,6,0.00024056434631347656,1.0,0.7,0.45,0.27272727272727276,0.6,0,58.84090909090909
random,7,0.00022935867309570312,1.0,0.7,0.45,0.3333333333333333,0.6,0,59.75
random,8,0.00022935867309570312,1.0,0.7,0.45,0.1764705882352941,0.6,0,57.39705882352941
random,9,0.0002377033233642578,1.0,0.7,0.45,0.10344827586206898,0.6,0,56.30172413793103
random,10,0.00023555755615234375,1.0,0.7,0.45,0.27272727272727276,0.6,0,58.84090909090909
random,11,0.00025653839111328125,1.0,0.7,0.45,0.27272727272727276,0.6,0,58.84090909090909
random,12,0.00026345252990722656,1.0,0.6625,0.49166666666666664,0.8,0.4,0,63.625
random,13,0.00025272369384765625,1.0,0.7,0.4,0.3333333333333333,0.6,0,59.0
random,14,0.0002453327178955078,1.0,0.7,0.45,0.08571428571428572,0.6,0,56.035714285714285
random,15,0.00022745132446289062,1.0,0.7,0.45,0.1764705882352941,0.6,0,57.39705882352941
random,16,0.0002334117889404297,1.0,0.7,0.45,0.3333333333333333,0.6,0,59.75
random,17,0.0003952980041503906,1.0,0.7,0.45,0.08571428571428572,0.6,0,56.035714285714285
random,18,0.00043964385986328125,1.0,0.7,0.45,0.07317073170731708,0.6,0,55.84756097560975
random,19,0.0004048347473144531,1.0,0.7,0.45,0.1111111111111111,0.6,0,56.416666666666664
random,20,0.00043654441833496094,1.0,0.7,0.45,0.10344827586206898,0.6,0,56.30172413793103
random,21,0.0002448558807373047,1.0,0.7,0.45,0.6000000000000001,0.6,0,63.75
random,22,0.00022530555725097656,1.0,0.7,0.45,0.07317073170731708,0.6,0,55.84756097560975
random,23,0.00023746490478515625,1.0,0.7,0.45,0.3333333333333333,0.6,0,59.75
random,24,0.0002655982971191406,1.0,0.7222222222222222,0.4166666666666667,0.06666666666666667,0.6,0,55.69444444444444
random,25,0.00023055076599121094,1.0,0.7,0.45,0.03896103896103896,0.6,0,55.33441558441559
random,26,0.00023436546325683594,1.0,0.7,0.45,0.10344827586206898,0.6,0,56.30172413793103
random,27,0.00022745132446289062,1.0,0.7,0.45,0.3333333333333333,0.6,0,59.75
random,28,0.00023174285888671875,1.0,0.7,0.45,0.06666666666666667,0.6,0,55.75
random,29,0.00023865699768066406,1.0,0.6777777777777778,0.38333333333333336,0.19148936170212766,0.6,0,56.177895981087474
